 ,Label,Area,Mean,Min,Max,Angle,Length
1,ALNINC_HF2_P1_guides.tif:2022,6.423E-6,137.471,101.333,175.667,180.000,0.041
2,ALNINC_HF2_P1_guides.tif:2021,2.453E-5,145.396,110.000,175.618,179.768,0.156
3,ALNINC_HF2_P1_guides.tif:2020,1.843E-5,142.351,117.333,172.667,180.000,0.117
4,ALNINC_HF2_P1_guides.tif:2019,2.810E-5,134.074,102.000,166.000,180.000,0.178
5,ALNINC_HF2_P1_guides.tif:2018,1.376E-5,124.434,71.592,153.726,-179.793,0.087
6,ALNINC_HF2_P1_guides.tif:2022,6.845E-6,123.727,83.000,149.033,57.465,0.043
7,ALNINC_HF2_P1_guides.tif:2021,3.303E-5,130.736,106.578,178.642,56.895,0.210
8,ALNINC_HF2_P1_guides.tif:2020,2.004E-5,129.560,98.569,176.659,57.649,0.127
9,ALNINC_HF2_P1_guides.tif:2019,2.701E-5,134.841,100.298,169.920,56.923,0.171
10,ALNINC_HF2_P1_guides.tif:2018,1.473E-5,123.229,69.662,157.172,58.506,0.093
11,ALNINC_HF2_P1_guides.tif:2022,4.811E-6,134.597,108.877,151.899,-55.981,0.030
12,ALNINC_HF2_P1_guides.tif:2021,2.423E-5,140.563,116.733,173.806,-57.385,0.154
13,ALNINC_HF2_P1_guides.tif:2020,1.582E-5,148.079,127.338,169.406,-57.308,0.100
14,ALNINC_HF2_P1_guides.tif:2019,2.172E-5,140.194,111.899,172.938,-57.273,0.138
15,ALNINC_HF2_P1_guides.tif:2018,1.381E-5,121.824,73.759,166.269,-56.967,0.088
16,ALNINC_HF2_P1_guides.tif:2022 comment,0.003,142.965,79.000,196.000,0.000,0.000
